Name,Bouboule,Coin bouboule,Coin pas ouvert,Coin ouvert mais DL aux jonctions,Coin ouvert
CHEBI:4822,4 ,0,0,0,1,0
CHEBI:16919,,0,0,0,0,0
CHEBI:18169,,0,0,0,0,0
CHEBI:3008,,0,0,0,0,0
CHEBI:17715,,0,0,0,0,0
CHEBI:2365,,0,0,0,0,0
CHEBI:15669,,0,0,0,0,0
CHEBI:17510,,0,0,0,0,0
CHEBI:16996,,0,0,0,0,0
CHEBI:18365,,0,0,0,0,0
CHEBI:16130,,0,0,0,0,0
CHEBI:18402,,0,0,0,0,0
CHEBI:17141,,0,0,0,0,0
CHEBI:16432,,0,0,0,0,0
CHEBI:27440,,0,0,0,0,0
CHEBI:16227,,0,0,0,0,0
CHEBI:18106,,0,0,0,0,0
CHEBI:16060,1 ,1,3,0,0,0
CHEBI:17716,,0,0,0,0,0
CHEBI:18327,,0,0,0,0,0
CHEBI:17230,,0,0,0,0,0
CHEBI:16251,,0,0,0,0,0
CHEBI:17796,,0,0,0,0,0
CHEBI:10110,,0,0,0,0,0
CHEBI:17756,,0,0,0,0,0
CHEBI:18012,,0,0,0,0,0
CHEBI:24809,,0,0,0,0,0
CHEBI:16312,,0,0,0,0,0
CHEBI:17342,,0,0,0,0,0
CHEBI:4974,,0,0,0,0,0
CHEBI:27460,,0,0,0,0,0
CHEBI:18200,,0,0,0,0,0
CHEBI:17879,,0,0,0,0,0
CHEBI:8890,,0,0,0,0,0
CHEBI:16865,,0,0,0,0,0
CHEBI:27379,,0,0,0,0,0
CHEBI:18263,,0,0,0,0,0
CHEBI:19982,,0,0,0,0,0
CHEBI:4379,,0,0,0,0,0
CHEBI:15968,,0,0,0,0,0
CHEBI:15527,,0,0,0,0,0
CHEBI:16867,,0,0,0,0,0
CHEBI:18084,,0,0,0,0,0
CHEBI:15539,,0,0,0,0,0
CHEBI:10642,,0,0,0,0,0
CHEBI:17030,,0,0,0,0,0
CHEBI:16189,,0,0,0,0,0
CHEBI:18034,,0,0,0,0,0
CHEBI:17316,,0,0,0,0,0
CHEBI:15557,,0,0,0,0,0
CHEBI:17338,,0,0,0,0,0
CHEBI:4884,,0,0,0,0,0
CHEBI:17545,,0,0,0,0,0
CHEBI:4670,,0,0,0,0,0
CHEBI:17043,,0,0,0,0,0
CHEBI:16716,,0,0,0,0,0
CHEBI:26199,,0,0,0,0,0
CHEBI:16984,,0,0,0,0,0
CHEBI:15894,,0,0,0,0,0
CHEBI:17658,,0,0,0,0,0
CHEBI:16625,,0,0,0,0,0
CHEBI:27434,,0,0,0,0,0
CHEBI:15594,,0,0,0,0,0
CHEBI:16931,,0,0,0,0,0
CHEBI:18174,,0,0,0,0,0
CHEBI:16741,,0,0,0,0,0
CHEBI:16682,,0,0,0,0,0
CHEBI:16509,,0,0,0,0,0
CHEBI:15421,,0,0,0,0,0
CHEBI:17572,,0,0,0,0,0
CHEBI:18303,,0,0,0,0,0
CHEBI:21891,,0,0,0,0,0
CHEBI:15368,,0,0,0,0,0
CHEBI:4932,,0,0,0,0,0
CHEBI:16886,,0,0,0,0,0
CHEBI:17576,,0,0,0,0,0
CHEBI:18311,,0,0,0,0,0
CHEBI:16080,,0,0,0,0,0
CHEBI:17964,,0,0,0,0,0
CHEBI:3139,,0,0,0,0,0
CHEBI:18354,,0,0,0,0,0
CHEBI:17683,,0,0,0,0,0
CHEBI:15607,,0,0,0,0,0
CHEBI:16100,,0,0,0,0,0
CHEBI:17410,,0,0,0,0,0
CHEBI:16841,,0,0,0,0,0
CHEBI:17922,,0,0,0,0,0
CHEBI:17979,,0,0,0,0,0
CHEBI:16020,,0,0,0,0,0
CHEBI:17395,,0,0,0,0,0
CHEBI:18418,,0,0,0,0,0
CHEBI:18417,,0,0,0,0,0
CHEBI:17647,,0,0,0,0,0
